ID,Item Number,DN,DA,Size,Value,Unit,Bauteil
359,28.7,0.0,0.0,90,152.04,m2,Behälterkopf/Zeppelin
357,28.6,0.0,0.0,80,149.06,m2,Behälterkopf/Zeppelin
355,28.5,0.0,0.0,70,147.03,m2,Behälterkopf/Zeppelin
353,28.4,0.0,0.0,60,142.1,m2,Behälterkopf/Zeppelin
351,28.3,0.0,0.0,50,141.84,m2,Behälterkopf/Zeppelin
349,28.2,0.0,0.0,40,139.13,m2,Behälterkopf/Zeppelin
346,28.1,0.0,0.0,30,135.56,m2,Behälterkopf/Zeppelin
344,27.13,0.0,0.0,200,225.69,m2,Kompensatorenklappe
342,27.12,0.0,0.0,180,203.1,m2,Kompensatorenklappe
340,27.11,0.0,0.0,160,156.64,m2,Kompensatorenklappe
338,27.9,0.0,0.0,120,152.46,m2,Kompensatorenklappe
336,27.8,0.0,0.0,100,136.91,m2,Kompensatorenklappe
334,27.7,0.0,0.0,90,132.76,m2,Kompensatorenklappe
332,27.6,0.0,0.0,80,130.63,m2,Kompensatorenklappe
330,27.5,0.0,0.0,70,128.58,m2,Kompensatorenklappe
328,27.4,0.0,0.0,60,126.2,m2,Kompensatorenklappe
326,27.3,0.0,0.0,50,126.2,m2,Kompensatorenklappe
324,27.2,0.0,0.0,40,119.24,m2,Kompensatorenklappe
321,27.1,0.0,0.0,140,156.64,m2,Kompensatorenklappe
320,27.1,0.0,0.0,30,117.96,m2,Kompensatorenklappe
318,26.13,0.0,0.0,200,209.36,m2,Mannlochklappe
316,26.12,0.0,0.0,180,188.42,m2,Mannlochklappe
314,26.11,0.0,0.0,160,138.7,m2,Mannlochklappe
312,26.9,0.0,0.0,120,125.35,m2,Mannlochklappe
310,26.8,0.0,0.0,100,123.15,m2,Mannlochklappe
308,26.7,0.0,0.0,90,121.71,m2,Mannlochklappe
306,26.6,0.0,0.0,80,119.99,m2,Mannlochklappe
304,26.5,0.0,0.0,70,118.39,m2,Mannlochklappe
302,26.4,0.0,0.0,60,116.1,m2,Mannlochklappe
300,26.3,0.0,0.0,50,114.9,m2,Mannlochklappe
298,26.2,0.0,0.0,40,111.33,m2,Mannlochklappe
295,26.1,0.0,0.0,140,135.3,m2,Mannlochklappe
294,26.1,0.0,0.0,30,108.03,m2,Mannlochklappe
292,25.13,0.0,0.0,200,213.98,m2,Flanschkappe
290,25.12,0.0,0.0,180,192.58,m2,Flanschkappe
288,25.11,0.0,0.0,160,156.04,m2,Flanschkappe
286,25.9,0.0,0.0,120,136.58,m2,Flanschkappe
284,25.8,0.0,0.0,100,125.87,m2,Flanschkappe
282,25.7,0.0,0.0,90,124.07,m2,Flanschkappe
280,25.6,0.0,0.0,80,122.3,m2,Flanschkappe
278,25.5,0.0,0.0,70,119.66,m2,Flanschkappe
276,25.4,0.0,0.0,60,117.87,m2,Flanschkappe
274,25.3,0.0,0.0,50,116.1,m2,Flanschkappe
272,25.2,0.0,0.0,40,114.4,m2,Flanschkappe
269,25.1,0.0,0.0,140,152.13,m2,Flanschkappe
268,25.1,0.0,0.0,30,112.61,m2,Flanschkappe
266,24.13,0.0,0.0,200,249.96,m2,Ventil-/Armaturenkappe
264,24.12,0.0,0.0,180,224.97,m2,Ventil-/Armaturenkappe
262,24.11,0.0,0.0,160,176.43,m2,Ventil-/Armaturenkappe
260,24.9,0.0,0.0,120,154.16,m2,Ventil-/Armaturenkappe
258,24.8,0.0,0.0,100,147.03,m2,Ventil-/Armaturenkappe
256,24.7,0.0,0.0,90,144.48,m2,Ventil-/Armaturenkappe
254,24.6,0.0,0.0,80,141.84,m2,Ventil-/Armaturenkappe
252,24.5,0.0,0.0,70,140.05,m2,Ventil-/Armaturenkappe
250,24.4,0.0,0.0,60,137.43,m2,Ventil-/Armaturenkappe
248,24.3,0.0,0.0,50,135.73,m2,Ventil-/Armaturenkappe
246,24.2,0.0,0.0,40,133.09,m2,Ventil-/Armaturenkappe
243,24.1,0.0,0.0,140,171.67,m2,Ventil-/Armaturenkappe
242,24.1,0.0,0.0,30,130.45,m2,Ventil-/Armaturenkappe
